day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
We,11/24/2021,80.94,3.83,0.1919,937.43,22.8355,1784.6,36052.63,15649.6,4630.65
Tu,11/23/2021,78.08,3.852,0.1935,939.07,22.9041,1802.59,35913.84,15595.92,4613.67
Mo,11/22/2021,78.5,3.837,0,966.36,23.1555,1788.85,35819.56,15498.39,4605.38
Fr,11/19/2021,81,3.946,0.1993,958.28,23.5995,1788.61,35730.48,15448.12,4596.42
Th,11/18/2021,79.95,3.861,0.2011,998.78,23.552,1789.16,35490.69,15235.84,4551.68
We,11/17/2021,81.05,3.933,0.1976,979.52,23.659,1804.65,35756.88,15235.71,4574.79
Tu,11/16/2021,81.4,4.059,0.1999,970.66,24.1818,1845.73,35741.15,15226.71,4566.48
Mo,11/15/2021,79.58,4.089,0.2018,1014.16,24.6185,1858.94,35677.02,15090.2,4544.9
Fr,11/12/2021,80.6,4.14,0.2042,1034.16,24.8048,1867.48,35603.08,15215.7,4549.78
Th,11/11/2021,81.7,4.158,0.1999,1051.35,25.0858,1850.63,35609.34,15121.68,4536.19
We,11/10/2021,81.22,3.935,0.1974,1061.71,24.8341,1862.84,35457.31,15129.09,4519.63
Tu,11/9/2021,84,3.914,0.2001,1065.15,25.0631,1864.9,35258.61,15021.81,4486.46
Mo,11/8/2021,80.8,4.044,0.2012,1089.82,25.3176,1862.11,35294.76,14897.34,4471.37
Fr,11/5/2021,78.85,3.971,0.196,1085.8,25.2565,1849.6,34912.56,14823.43,4438.26
Th,11/4/2021,79.88,4.102,0.199,1088.66,24.639,1831.92,34377.81,14571.63,4363.8
We,11/3/2021,82.58,4.003,0.1992,1070.66,24.3064,1824.18,34378.34,14465.92,4350.65
Tu,11/2/2021,83.06,3.876,0.1994,1062.72,24.4595,1818.36,34496.06,14486.2,4361.19
Mo,11/1/2021,81.8,3.779,0.1963,1059.1,24.16,1792.04,34746.25,14579.54,4391.34
Fr,10/29/2021,81.94,3.674,0.1938,1036.23,23.7955,1769.84,34754.94,14654.02,4399.76
Th,10/28/2021,81.5,3.614,0.1954,1028.82,23.5191,1787.76,34416.99,14501.91,4363.55
We,10/27/2021,82.57,3.66,0.1937,1032.53,23.5369,1793.28,34314.67,14433.83,4345.72
Tu,10/26/2021,82.85,3.696,0.1927,1041.26,24.0445,1783.38,34002.92,14255.48,4300.46
Mo,10/25/2021,82.87,3.749,0.1962,1068.19,23.903,1798.91,34326.46,14566.7,4357.04
Fr,10/22/2021,82.22,3.688,0.197,1022.22,24.079,1796.81,33843.92,14448.58,4307.54
Th,10/21/2021,82.39,3.596,0.1966,1021.39,24.0638,1792.91,34390.72,14512.44,4359.46
We,10/20/2021,81.69,3.637,0.1939,1013.04,24.1575,1807.73,34299.99,14546.68,4352.63
Tu,10/19/2021,82.5,3.7,0.1908,1031.06,24.5697,1792.65,34869.37,14969.97,4443.11
Mo,10/18/2021,82.94,3.661,0.1894,1062.42,24.3233,1782.9,34798,15047.7,4455.48
Fr,10/15/2021,82.7,3.65,0.1897,1043.99,24.156,1782.08,34764.82,15052.24,4448.98
Th,10/14/2021,82.13,3.63,0.1887,1052.89,24.292,1769.29,34258.32,14896.85,4395.64
We,10/13/2021,81.26,3.617,0.1935,1053.39,23.667,1764.86,33919.84,14746.4,4354.19
Tu,10/12/2021,81.99,3.496,0.198,1043.47,23.1933,1767.62,33970.47,14713.9,4357.73
Mo,10/11/2021,82.09,3.418,0.1959,1039.28,23.3098,1795.87,34584.88,15043.97,4432.99
Fr,10/8/2021,81.33,3.333,0.1986,1058.64,23.5195,1792.97,34751.32,15181.92,4473.75
Th,10/7/2021,78.2,3.191,0.2007,1059.51,23.093,1760.18,34814.39,15161.53,4480.7
We,10/6/2021,80.25,3.215,0.2033,1023.13,22.5629,1754.15,34577.57,15037.76,4443.05
Tu,10/5/2021,79.48,3.253,0.2029,1010.74,22.582,1757.13,34869.63,15105.58,4468.73
Mo,10/4/2021,76.97,3.251,0.1984,1011.25,22.6768,1755.78,34607.72,15115.49,4458.58
Fr,10/1/2021,75.68,3.24,0.1977,1028.59,22.6025,1762.74,34879.38,15248.25,4493.28
Th,9/30/2021,75.9,3.296,0.1985,983.7,22.6251,1760.18,35031.07,15286.64,4514.07
We,9/29/2021,75.17,3.149,0.1969,989.5,22.6324,1769.57,35100,15374.33,4520.03
Tu,9/28/2021,77.17,3.129,0.2006,965.38,22.6818,1760.98,35369.09,15363.52,4535.43
Mo,9/27/2021,75.77,3.128,0.1983,969.26,22.5385,1756.95,35443.82,15331.18,4536.95
Fr,9/24/2021,74.54,3.07,0.1894,977.11,22.171,1726.37,35312.53,15309.38,4524.09
Th,9/23/2021,73.45,3.075,0.1898,967.43,21.5358,1734.01,35360.73,15259.24,4522.68
We,9/22/2021,72.83,3.104,0.1873,954.33,22.4555,1750.16,35399.84,15265.89,4528.79
Tu,9/21/2021,71.94,2.986,0.191,967.62,22.6275,1750.42,35455.8,15129.5,4509.37
Mo,9/20/2021,71.18,2.958,0.1949,983.7,22.4205,1742.76,35213.12,14945.81,4470
Fr,9/17/2021,72.32,2.984,0.1933,985.36,22.5129,1768.16,35405.5,15041.86,4496.19
Th,9/16/2021,73,2.913,0.1897,992.26,22.6963,1774.51,35366.26,15019.8,4486.23
We,9/15/2021,71.95,2.886,0.1886,999.81,22.4968,1764.16,35335.71,14942.65,4479.53
Tu,9/14/2021,71.9,2.906,0.1918,957.23,22.2698,1754.34,35120.08,14714.66,4441.67
Mo,9/13/2021,71.12,2.925,0.1949,914.39,22.3853,1753.77,34894.12,14541.79,4405.8
Fr,9/10/2021,70.4,2.964,0.1952,942.79,22.907,1794.06,34960.69,14525.91,4400.27
Th,9/9/2021,70.4,3.012,0.1896,936.71,23.8426,1804.51,35343.28,14656.18,4448.08
We,9/8/2021,69.71,2.961,0.1898,950.07,23.8568,1793.75,35625.4,14793.76,4479.71
Tu,9/7/2021,70.17,2.973,0.1879,944,23.7385,1787.58,35515.38,14822.9,4468
Mo,9/6/2021,69.7,2.969,0.1924,965.76,23.7441,1794.58,35499.85,14816.26,4460.83
Fr,9/3/2021,71.26,2.955,0.1949,960.75,24.0397,1789.26,35484.97,14765.13,4447.7
Th,9/2/2021,69.87,2.932,0.1948,980.96,23.9451,1794.36,35264.67,14788.09,4436.75
We,9/1/2021,69.46,2.928,0,983.48,24.319,1823.29,35101.85,14860.18,4432.35
Tu,8/31/2021,69.35,2.938,0.1962,1002.06,24.6825,1827.73,35208.51,14835.76,4436.52
Mo,8/30/2021,69.14,2.967,0.199,1023.72,24.716,1809.66,35064.25,14895.12,4429.1
Fr,8/27/2021,69.08,2.966,0.1967,1026.76,23.9055,1813.9,34792.67,14780.53,4402.66
Th,8/26/2021,68.5,2.931,0.1984,1002.25,24.141,1813.62,35116.4,14761.29,4423.15
We,8/25/2021,68.31,2.911,0.2022,1005.19,23.8943,1810.34,34838.16,14681.07,4387.16
Tu,8/24/2021,67.82,2.873,0.2004,1015.83,24.036,1817.57,34935.47,14672.68,4395.26
Mo,8/23/2021,65.5,2.79,0.1968,1010.09,24.0262,1792.43,35084.53,14778.26,4419.15
Fr,8/20/2021,64.58,2.749,0.1973,1012.53,23.5645,1791,34930.93,14762.58,4400.64
Th,8/19/2021,64.89,2.692,0.1958,981.55,23.841,1802.9,35058.52,14660.58,4401.46
We,8/18/2021,68.64,2.727,0.1958,999.41,23.8606,1805.43,35144.31,14840.71,4422.3
Tu,8/17/2021,68.51,2.658,0.1958,1014.24,23.6267,1781.11,35061.55,14836.99,4411.79
Mo,8/16/2021,68.82,2.618,0.1979,1018.06,23.0255,1780.38,34823.35,14684.6,4367.48
Fr,8/13/2021,69.93,2.561,0.2017,997.1,23.2515,1787.82,34798,14631.95,4358.69
Th,8/12/2021,70.53,2.526,0.2002,976.69,23.509,1786.19,34511.99,14498.88,4323.06
We,8/11/2021,69.08,2.522,0.2003,998.98,23.6592,1787.45,33962.04,14274.98,4258.49
Tu,8/10/2021,68.1,2.52,0.1995,999.05,23.841,1779.74,34687.85,14427.24,4327.16
Fr,8/6/2021,70.2,2.511,0.1954,1026.65,23.7493,1752.9,34987.02,14543.13,4360.03
Th,8/5/2021,69.42,2.623,0.1947,1032.08,23.1805,1751.7,34933.23,14644.95,4374.3
We,8/4/2021,70.73,2.586,0.1959,1023.46,23.5465,1728.93,34888.79,14677.65,4369.21
Tu,8/3/2021,71.75,2.57,0.1847,1023.49,23.3416,1729.94,34996.18,14733.24,4384.63
Mo,8/2/2021,72.9,2.518,0.1868,1000.31,23.449,1763.03,34870.16,14701.92,4369.55
Fr,7/30/2021,73.32,2.508,0.1862,982.09,24.3305,1804.41,34421.93,14559.79,4320.82
Th,7/29/2021,72.92,2.535,0.1793,983.58,25.1581,1811.74,34681.79,14665.06,4358.13
We,7/28/2021,72.75,2.481,0.1798,1007.85,25.3812,1810.44,34577.37,14663.64,4343.54
Tu,7/27/2021,72.58,2.528,0.1795,1027.68,25.5233,1813.47,34786.35,14639.33,4352.34
Mo,7/26/2021,71.9,2.562,0.1791,1051.52,25.4097,1814.19,34633.53,14522.38,4319.94
Fr,7/23/2021,72.17,2.484,0.183,1059.83,25.4912,1828.17,34502.51,14503.95,4297.5
Th,7/22/2021,71.02,2.6,0.1861,1051.55,25.5144,1807.11,34292.29,14528.33,4291.8
We,7/21/2021,68.79,2.662,0.1835,1063.67,24.9635,1799.09,34283.27,14500.51,4290.61
Mo,7/19/2021,70.46,2.664,0.1842,1068.68,24.6916,1797.63,34433.84,14360.39,4280.7
Fr,7/16/2021,73.22,2.746,0.1817,1054.46,25.1935,1802.15,34196.82,14369.71,4266.49
Th,7/15/2021,73.39,2.816,0.1762,1068.85,25.1775,1806.92,33874.24,14271.73,4241.84
We,7/14/2021,75.05,2.839,0.1767,1063.54,25.4315,1803.66,33945.58,14253.27,4246.44
Tu,7/13/2021,74.51,2.771,0.1741,1096.22,25.2612,1810.36,33876.97,14141.48,4224.79
Mo,7/12/2021,73.4,2.854,0.1707,1083.7,24.934,1812.64,33290.08,14030.38,4166.45
Fr,7/9/2021,73.51,2.879,0.1771,1069.42,25.1761,1812.05,33823.45,14161.35,4221.86
Th,7/8/2021,71.26,2.953,0.1733,1077.34,25.6641,1829.47,34033.67,14039.68,4223.7
We,7/7/2021,74.02,3.069,0.1693,1104.91,26.343,1827.53,34299.33,14072.86,4246.59
Tu,7/6/2021,76,3.082,0.1708,1142.67,26.25,1807.76,34393.75,14174.14,4255.15
Mo,7/5/2021,74.8,3.219,0.1699,1132.74,25.9876,1806.28,34479.6,14069.42,4247.44
Fr,7/2/2021,74.16,2.912,0.1728,1108.88,26.202,1808.32,34466.24,14020.33,4239.18
Th,7/1/2021,73.72,2.868,0.1745,1122.76,26.1042,1802.83,34447.14,13911.75,4219.55
We,6/30/2021,72.97,2.835,0.1775,1104.67,25.935,1803.63,34599.82,13924.91,4227.26
Tu,6/29/2021,72.26,2.863,0.1787,1078.97,26.1404,1797.08,34630.24,13881.72,4226.52
Mo,6/28/2021,73.29,2.935,0,1088.83,26.159,1791.77,34756.39,13814.49,4229.89
Fr,6/25/2021,72.61,2.789,0.1815,1094.59,26.479,1787.3,34577.04,13614.51,4192.85
Th,6/24/2021,72.99,2.845,0.1794,1100.56,26.4715,1776.84,34600.38,13756.33,4208.12
We,6/23/2021,73.14,2.85,0.1763,1093.74,26.034,1770.11,34575.31,13736.48,4202.04
Tu,6/22/2021,71.89,2.564,0.1723,1086.73,26.1263,1761.24,34529.45,13748.74,4204.11
Mo,6/21/2021,71.57,2.76,0.1723,1075.43,25.7732,1778.48,34464.64,13736.28,4200.88
Fr,6/18/2021,70.67,2.602,0.169,1071.8,26.1119,1781.44,34323.05,13738,4195.99
Th,6/17/2021,72.29,2.446,0.1693,1095.1,26.102,1775.17,34312.46,13657.17,4188.13
We,6/16/2021,72.03,2.546,0.1669,1110.72,25.947,1778.68,34393.98,13661.17,4197.05
Tu,6/15/2021,71.14,2.737,0.1643,1096.25,25.8914,1778.74,34207.84,13470.99,4155.86
Mo,6/14/2021,70.85,2.666,0.1678,1088.62,25.7773,1783.27,34084.15,13535.74,4159.12
Fr,6/11/2021,70.39,2.753,0.1643,1078.5,25.9516,1764.16,33896.04,13299.74,4115.68
Th,6/10/2021,70.03,2.7,0.1655,1062.54,25.7868,1773.5,34060.66,13303.64,4127.83
We,6/9/2021,70.12,2.716,0.1704,1043.48,25.9047,1811.47,34327.79,13379.05,4163.29
Tu,6/8/2021,69.12,2.702,0.1705,1066.88,26.9831,1859.02,34382.13,13429.98,4173.85
Mo,6/7/2021,69.14,2.422,0.1729,1125.16,27.6643,1866.18,34021.45,13124.99,4112.5
Fr,6/4/2021,69.27,2.467,0.1754,1156.51,27.856,1877.53,33587.66,13031.68,4063.04
Th,6/3/2021,68.88,2.305,0.1766,1167.54,27.9175,1898.51,34269.16,13389.43,4152.1
We,6/2/2021,68.45,2.78,0.1773,1150.92,27.99,1888.57,34742.82,13401.86,4188.43
Tu,6/1/2021,68.01,2.705,0.1771,1155.47,27.7725,1892.89,34777.76,13752.24,4232.6
Mo,5/31/2021,66.62,2.636,0.1738,1153.22,27.618,1899.21,34548.53,13632.84,4201.62
Fr,5/28/2021,67.28,2.682,0.1771,1164.75,27.8897,1891.59,34230.34,13582.42,4167.59
Th,5/27/2021,66.17,2.591,0.1743,1176.33,27.7933,1870.76,34133.03,13633.5,4164.66
Tu,5/25/2021,66.01,2.553,0.1768,1169.33,27.4316,1908.38,34113.23,13895.12,4192.66
Mo,5/24/2021,65.7,2.442,0.1769,1162.05,28.1719,1900.44,33874.85,13962.68,4181.17
Fr,5/21/2021,63.31,2.399,0,1194.56,27.8927,1906.87,34060.36,14082.55,4211.47
Th,5/20/2021,63.84,2.406,0.1736,1195.91,28.0262,1903.77,33820.38,14051.03,4183.18
We,5/19/2021,66.18,2.575,0.1712,1190.14,27.9352,1896.54,33984.93,14090.22,4186.72
Tu,5/18/2021,68.25,2.507,0.1678,1184.44,27.844,1896.67,33981.57,14138.78,4187.62
Mo,5/17/2021,66.39,2.88,0.1704,1182.44,27.6825,1899.25,34043.49,14016.81,4180.17
Fr,5/14/2021,65.42,2.843,0.1683,1196.17,27.9987,1881.02,33815.9,13818.41,4134.98
We,5/12/2021,66.65,2.896,0.1667,1196.32,27.7695,1881.25,34137.31,13950.22,4173.42
Tu,5/11/2021,65.67,2.775,0.1704,1178.28,27.5645,1877.21,33821.3,13786.27,4134.94
Mo,5/10/2021,66.41,2.711,0.1695,1172.25,27.7555,1869.62,34077.63,13914.77,4163.26
Fr,5/7/2021,65.7,2.65,0.1721,1199.31,27.7366,1869.44,34200.67,14052.34,4185.47
Th,5/6/2021,66.78,2.995,0.1699,1196.13,28.185,1866.9,34035.99,14038.76,4170.42
We,5/5/2021,67.2,2.976,0.1696,1222.89,28.1715,1843.43,33730.89,13857.84,4124.66
Tu,5/4/2021,65.93,3.031,0.1711,1243.2,27.4228,1826.72,33677.27,13996.1,4141.59
Mo,5/3/2021,64.04,2.859,0.1784,1229.49,27.093,1815.69,33745.4,13850,4127.99
Fr,4/30/2021,64.49,2.888,0.181,1211.58,27.0231,1837.47,33800.6,13900.19,4128.8
Th,4/29/2021,64.66,2.942,0.1749,1215.31,27.624,1836.07,33503.57,13829.31,4097.17
We,4/28/2021,62.9,3.046,0.1749,1240.3,27.3085,1831.24,33446.26,13688.84,4079.95
Tu,4/27/2021,62.64,3.059,0.1755,1250.6,27.4495,1815.22,33430.24,13698.38,4073.94
Mo,4/26/2021,61.67,3.244,0.1753,1255.98,27.3105,1786.87,33527.19,13705.59,4077.91
Fr,4/23/2021,62.4,3.354,0.1712,1255.05,26.4895,1779.06,33153.21,13480.11,4019.87
Th,4/22/2021,62.17,3.301,0.1673,1228.53,26.509,1792.88,32981.55,13246.87,3972.89
We,4/21/2021,63.27,2.996,0.1744,1238.89,26.905,1769.13,33066.96,13045.39,3958.55
Tu,4/20/2021,65.29,3.019,0.1708,1232.21,25.9169,1772.18,33171.37,13059.65,3971.09
Mo,4/19/2021,64.33,3.024,0.173,1203.39,26.0974,1781.68,33072.88,13138.72,3974.54
Fr,4/16/2021,65.06,3.007,0.1794,1202.52,26.2028,1776.6,32619.48,12977.68,3909.52
Th,4/15/2021,64.06,3.023,0.1717,1221.64,26.2682,1781.38,32420.06,12961.89,3889.14
We,4/14/2021,62.38,2.773,0.1691,1230.85,26.225,1777.2,32423.15,13227.7,3910.52
Tu,4/13/2021,61.36,2.881,0.1692,1246.42,26.0054,1783.94,32731.2,13377.54,3940.59
Mo,4/12/2021,60.85,2.741,0.1694,1231.89,26.1458,1793.79,32627.97,13215.24,3913.1
Fr,4/9/2021,60.56,2.627,0.1677,1206.93,26.5538,1778.75,32862.3,13116.17,3915.46
Th,4/8/2021,60.42,2.615,0.1629,1214.23,25.841,1771.43,33015.37,13525.2,3974.12
We,4/7/2021,59.85,2.438,0.1672,1190.43,25.8232,1776.51,32825.95,13471.57,3962.71
Tu,4/6/2021,60.64,2.527,0.1638,1211.06,25.967,1763.95,32953.46,13459.71,3968.94
Mo,4/5/2021,59.42,2.139,0.1586,1205.72,25.85,1736.43,32778.64,13319.86,3943.34
Th,4/1/2021,61.29,2.248,0.1543,1197.81,25.4217,1745.51,32485.59,13398.67,3939.34
We,3/31/2021,62.43,2.125,0.1535,1175.41,25.3475,1732.76,32297.02,13068.83,3898.81
Tu,3/30/2021,62.89,1.834,0.1546,1159.71,24.8165,1743.88,31832.74,13073.82,3875.44
Mo,3/29/2021,62.03,2.048,0.1518,1174.15,25.2655,1755.84,31802.44,12609.16,3821.35
Fr,3/26/2021,61.38,2.042,0.1514,1205.15,25.4587,1737.72,31496.3,12920.15,3841.94
Th,3/25/2021,61.17,2.362,0.1516,1232.5,25.1482,1743.27,30924.14,12723.47,3768.47
We,3/24/2021,60.87,2.31,0.1484,1229.29,25.1617,1728.27,31270.09,12997.75,3819.72
Tu,3/23/2021,61.23,2.269,0,1240.65,24.879,1728.87,31391.52,13358.79,3870.29
Mo,3/22/2021,62.44,2.323,0.1471,1212.56,25.0098,1729.31,31535.51,13588.83,3901.82
Fr,3/19/2021,62.49,2.588,0.1477,1212.57,24.971,1707.71,30932.37,13192.35,3811.15
Th,3/18/2021,65.01,2.487,0.1492,1213.34,24.4172,1685.2,31402.01,13119.43,3829.34
We,3/17/2021,66.01,2.486,0.1492,1187.43,24.0293,1712.2,31961.86,13597.97,3925.43
Tu,3/16/2021,66.16,2.63,0.1519,1159.44,24.6556,1732.52,31537.35,13465.2,3881.37
Mo,3/15/2021,67.88,2.461,0.1509,1179.15,25.0605,1726.93,31521.69,13533.05,3876.5
Fr,3/12/2021,67.34,2.489,0.1563,1188.56,25.0615,1734.69,31494.32,13874.47,3906.71
Th,3/11/2021,66.48,2.513,0.1543,1152.2,25.0948,1727.07,31493.34,13865.36,3913.97
We,3/10/2021,65.35,2.448,0.1553,1173.01,25.0608,1739.03,31613.02,13965.5,3931.33
Tu,3/9/2021,66.69,2.426,0.1576,1168.14,25.7505,1745.23,31522.75,14047.5,3932.59
Mo,3/8/2021,67.65,2.417,0.1589,1186.85,26.2461,1736.42,31458.4,14095.47,3934.83
Fr,3/5/2021,66.44,2.339,0.1599,1197.86,26.0718,1745.33,31430.7,14025.77,3916.38
Th,3/4/2021,62.03,2.356,0.163,1209.74,26.3165,1731.4,31437.8,13972.53,3909.88
We,3/3/2021,61.31,2.182,0.1612,1215.64,25.9354,1731.67,31375.83,14007.7,3911.23
Tu,3/2/2021,61.59,2.152,0.1613,1216.25,26.2422,1727.11,31385.76,13987.64,3915.59
Mo,3/1/2021,63.88,2.153,0.1636,1216.88,25.9187,1722.6,31148.24,13856.3,3886.83
Fr,2/26/2021,63.06,2.165,0.1596,1205.8,26.1219,1726.71,31055.86,13777.74,3871.74
Th,2/25/2021,64.08,2.193,0.159,1200.71,26.2127,1716.1,30723.6,13610.54,3830.17
We,2/24/2021,62.1,1.799,0.162,1205.43,25.936,1683.54,30687.48,13612.78,3826.31
Tu,2/23/2021,62.48,1.829,0.164,1173.39,25.1275,1700.64,30211.91,13403.39,3773.86
Mo,2/22/2021,60.66,1.854,0.1626,1140.29,25.2463,1697.52,29982.62,13070.69,3714.24
Fr,2/19/2021,61.01,1.8,0.1614,1132.78,25.3548,1711.23,30603.36,13337.16,3787.38
Th,2/18/2021,62.87,1.734,0.1643,1129.55,26.0955,1738.36,30303.17,13270.6,3750.77
We,2/17/2021,62.61,1.808,0.1621,1167.41,26.7633,1725.04,30937.04,13626.06,3849.62
Tu,2/16/2021,62.08,1.681,0.1753,1207.6,26.571,1734.04,30960,13635.99,3855.36
Mo,2/15/2021,61.93,1.675,0.1784,1188.19,26.6677,1770.56,30996.98,13543.06,3841.47
Th,2/11/2021,60.33,1.641,0.1816,1193.02,27.4258,1805.06,31176.01,13530.92,3853.07
We,2/10/2021,60.39,1.723,0.1841,1219.35,27.9528,1805.73,31188.38,13457.25,3851.85
Tu,2/9/2021,60.03,1.778,0.1878,1269.84,27.6737,1809.67,30930.52,13197.18,3798.91
Mo,2/8/2021,59.26,1.746,0.1779,1243.08,28.1379,1784.25,30814.26,12998.5,3768.25
Fr,2/5/2021,58.66,1.739,0.1751,1275.95,27.2899,1775.67,30991.52,13112.64,3795.54
Th,2/4/2021,57.87,1.779,0.1696,1276.22,27.0333,1776.13,31060.47,13128.95,3809.84
We,2/3/2021,56.9,1.824,0.1673,1275.82,27.3829,1794.47,31068.69,13072.43,3801.19
Tu,2/2/2021,56.09,1.876,0,1254.99,27.243,1818.86,31008.69,13036.43,3799.61
Mo,2/1/2021,54.58,1.83,0.1638,1265.21,27.6176,1824.23,31097.97,13201.98,3824.68
Fr,1/29/2021,54.28,1.671,0.1655,1305.33,27.36,1825.51,31041.13,13067.48,3803.79
Th,1/28/2021,54.02,1.751,0.1671,1256.38,26.9824,1842.89,30829.4,12740.79,3748.14
We,1/27/2021,55.21,1.709,0.1644,1237.68,27.0266,1838.32,30391.6,12818.96,3726.86
Tu,1/26/2021,55.02,1.495,0.1627,1246.21,27.2674,1830.81,30223.89,12698.45,3700.65
Mo,1/25/2021,55.12,1.482,0.1642,1181.38,27.2725,1814.11,30606.48,12888.28,3756.07
Fr,1/22/2021,54.54,1.597,0.1605,1161.74,26.9205,1794.03,30409.56,12870,3732.04
Th,1/21/2021,54.82,1.637,0.1604,1128.93,26.3516,1834.04,30335.67,12850.22,3727.04
We,1/20/2021,55.41,1.664,0.1629,1101.45,26.8915,1838.03,30403.97,12899.42,3735.36
Tu,1/19/2021,54.14,1.669,0.1615,1105.67,26.6814,1860.78,30199.87,12804.73,3703.06
Mo,1/18/2021,54.04,1.731,0.1583,1098.27,29.0515,1847.65,30129.83,12771.11,3690.01
Fr,1/15/2021,54.58,1.813,0.1559,1132.58,26.9872,1843.17,30015.51,12807.92,3687.26
Th,1/14/2021,54.76,1.78,0.158,1078.02,26.5025,1843.98,30216.45,12742.52,3694.92
We,1/13/2021,55.9,1.767,0.1574,1077.43,25.2666,1850.92,30179.05,12755.64,3709.41
Tu,1/12/2021,55.36,1.789,0.1574,1068.68,25.4699,1855.93,30303.37,12764.75,3722.48
Mo,1/11/2021,54.56,1.782,0.1587,1102.68,25.3475,1855.61,30154.54,12658.19,3701.17
Fr,1/8/2021,53.69,1.822,0.1605,1100.85,25.4935,1870.02,30199.31,12595.06,3694.62
Th,1/7/2021,53.48,1.821,0.1627,1103.22,25.9365,1871.84,29861.55,12440.04,3647.49
We,1/6/2021,52.64,1.777,0.161,1130.71,25.8425,1840.28,30046.37,12377.87,3663.46
Tu,1/5/2021,49.83,1.849,0,1113.75,25.2249,1841.26,29999.26,12405.81,3668.1
Mo,1/4/2021,51.71,1.827,0.1645,1088.87,25.3544,1828.45,30068.81,12338.95,3672.82
Th,12/31/2020,50.23,1.722,0.1667,1085.5,24.7693,1846.53,30173.88,12582.77,3702.25
We,12/30/2020,50.53,1.793,0.1584,1075.24,25.5192,1845.51,30069.79,12519.95,3691.96
Tu,12/29/2020,50.38,1.71,0.1546,1122.21,25.2225,1854.77,30218.26,12464.23,3699.12
Mo,12/28/2020,50.81,1.771,0.1567,1099.19,25.5597,1843.89,29969.52,12377.18,3666.72
Th,12/24/2020,50.57,1.783,0.156,1077.3,24.9125,1849.01,29883.79,12349.37,3669.01
We,12/23/2020,49.22,1.646,0.156,1035.56,25.4234,1913.95,29823.92,12355.11,3662.45
Tu,12/22/2020,49.26,1.616,0.1625,1069.27,27.1407,1918.61,29638.64,12198.74,3621.63
Mo,12/21/2020,49.55,1.72,0.1612,1119.55,27.29,1950.01,29910.37,12205.85,3638.35
Fr,12/18/2020,50.74,1.826,0.1576,1104.8,27.5525,1942.9,29872.47,12094.4,3629.65
Th,12/17/2020,51.24,1.823,0.1549,1113.58,27.235,1898.67,30046.24,12036.79,3635.41
We,12/16/2020,50.34,1.894,0.1528,1073.81,26.4011,1898.36,29591.27,11880.63,3577.59
Tu,12/15/2020,49.78,1.944,0.1504,1072.02,26.4023,1894.39,29263.48,11854.97,3557.54
Mo,12/14/2020,49.87,2.134,0.1498,1072.12,26.6669,1878.18,29483.23,11904.71,3581.87
Fr,12/11/2020,49.4,1.993,0.149,1072.02,26.2125,1873.69,29438.42,11801.6,3567.79
Th,12/10/2020,48.38,1.89,0.1483,1052.5,26.2456,1883.46,29783.35,11899.34,3609.53
We,12/9/2020,48.42,1.949,0.1454,1034.27,25.8297,1872.89,29950.44,11924.13,3626.91
Tu,12/8/2020,47.81,1.869,0.1453,1026.12,25.542,1860.84,29479.81,11829.29,3585.15
Mo,12/7/2020,47.67,1.794,0.1444,1025.97,25.1869,1876.89,29080.17,11709.59,3537.01
Fr,12/4/2020,48.66,1.819,0.1468,1019.55,26.1697,1881.35,29397.63,11786.43,3572.66
Th,12/3/2020,47.21,1.815,0.1449,1005.93,25.8112,1885.42,29420.92,11553.86,3545.53
We,12/2/2020,46.57,1.939,0.1421,1012.6,26.0624,1864.8,29157.97,11713.78,3550.5
Tu,12/1/2020,47.06,1.924,0.1412,1042.34,25.3279,1853.64,28323.4,11895.23,3509.44
Mo,11/30/2020,46.55,1.753,0.1443,1048.85,24.4945,1827.35,28390.18,11890.93,3510.45
Fr,11/27/2020,47.03,1.686,0.1466,1037.2,23.8388,1839.85,27847.66,11590.78,3443.44
Th,11/26/2020,46.68,1.598,0.1497,1040.75,23.9505,1836.57,27480.03,11160.57,3369.16
We,11/25/2020,46.91,1.65,0.1439,1010.72,24.0014,1839.55,26925.05,10957.61,3310.24
Tu,11/24/2020,45.22,1.724,0.1445,1012.79,23.9495,1870.56,26501.6,10911.59,3269.96
Mo,11/23/2020,44.94,1.733,0.1444,1031.12,24.554,1862.73,26659.11,11185.59,3310.11
Fr,11/20/2020,43.41,1.852,0.1471,1003.75,24.4851,1838.86,26519.95,11004.87,3271.03
Th,11/19/2020,43.12,1.621,0.146,1028.77,24.185,1841.08,27463.19,11431.35,3390.68
We,11/18/2020,43.13,1.552,0.1451,1024.79,24.065,1831.28,27685.38,11358.94,3400.97
Tu,11/17/2020,43.42,1.587,0.1451,1060.62,24.1028,1815.24,28335.57,11548.28,3465.39
Mo,11/16/2020,42.55,1.64,0.1482,1033.1,24.0021,1776.95,28363.66,11506.01,3453.49
Fr,11/13/2020,42.23,1.69,0,1016.43,22.644,1787.79,28210.82,11484.69,3435.56
Th,11/12/2020,42.39,1.634,0.1477,1003.3,22.5739,1815.8,28308.79,11516.49,3443.12
We,11/11/2020,43.57,1.602,0.1504,967.87,23.4193,1807.56,28195.42,11478.88,3426.92
Tu,11/10/2020,41.94,1.604,0.1515,967.8,23.3568,1807.59,28606.31,11671.56,3483.81
